preco,bairro,area,quartos,banheiros,vagas
R$ 1.300/mês,"Benfica, Fortaleza",45 m²,Não informado,1,Não informado
R$ 3.700/mês,"Rachel de Queiroz, Fortaleza",125 m²,3,3,3
R$ 1.000/mês,"Sapiranga-Coité, Fortaleza",46 m²,Não informado,1,Não informado
R$ 20.000/mês,"Carlito Pamplona, Fortaleza",432 m²,Não informado,3,13
R$ 2.100/mês,"Vila União, Fortaleza",130 m²,4,2,6
R$ 3.500/mês,"Manuel Dias Branco, Fortaleza",137 m²,3,3,3
R$ 20.000/mês,"Messejana, Fortaleza",8042 m²,Não informado,Não informado,Não informado
R$ 20.000/mês,"Itaoca, Fortaleza",1320 m²,Não informado,1,Não informado
R$ 19.500/mês,"Curió, Fortaleza",1890 m²,Não informado,Não informado,Não informado
R$ 250/dia,"Meireles, Fortaleza",70 m²,2,2,1
R$ 5.500/mês,"Meireles, Fortaleza",75 m²,2,2,1
R$ 1.700/mês,"Mondubim, Fortaleza",120 m²,3,3,3
R$ 18.000/mês,"Lagoa Redonda, Fortaleza",2000 m²,Não informado,5,Não informado
R$ 2.900/mês,"Joaquim Távora, Fortaleza",178 m²,4,2,5
R$ 35.000/mês,"Cambeba, Fortaleza",1906 m²,Não informado,Não informado,Não informado
R$ 20.000/mês,"Henrique Jorge, Fortaleza",1580 m²,Não informado,1,Não informado
R$ 5.507/mês,"Aldeota, Fortaleza",192 m²,3,6,4
R$ 1.650/mês,"Messejana, Fortaleza",55 m²,2,1,1
R$ 6.900/mês,"Meireles, Fortaleza",65 m²,2,2,1
R$ 200/dia,"Meireles, Fortaleza",70 m²,2,2,1
R$ 250/dia,"Meireles, Fortaleza",56 m²,2,2,1
R$ 1.200/mês,"Jangurussu, Fortaleza",66 m²,2,2,2
R$ 2.300/mês,"Mucuripe, Fortaleza",63 m²,2,2,2
R$ 2.100/mês,"Coaçu, Fortaleza",120 m²,3,3,2
R$ 51.998/mês,"Centro, Fortaleza",2971 m²,Não informado,Não informado,16
R$ 1.050/mês,"Itaoca, Fortaleza",50 m²,2,2,1
R$ 1.700/mês,"Monte Castelo, Fortaleza",52 m²,2,2,Não informado
R$ 2.700/mês,"Papicu, Fortaleza",80 m²,Não informado,Não informado,Não informado
R$ 2.400/mês,"Sapiranga-Coité, Fortaleza",52 m²,2,2,1
R$ 1.700/mês,"Itaperi, Fortaleza",75 m²,2,2,1
